task,step,reward,planning,memory,recovery,terminal,loss
training-loop,131,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,132,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,133,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,134,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,135,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,136,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,137,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,138,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,139,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,140,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,141,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,142,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,143,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,144,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,145,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,146,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,147,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,148,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,149,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,150,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,151,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,152,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,153,0.426500,0.000000,0.000000,0.000000,0.000000,0.309100
training-loop,154,0.426500,0.000000,0.000000,0.000000,0.000000,-0.044100
training-loop,155,0.426500,0.000000,0.000000,0.000000,0.000000,-0.044400
training-loop,156,0.426500,0.000000,0.000000,0.000000,0.000000,-0.044200
training-loop,157,0.426500,0.000000,0.000000,0.000000,0.000000,-0.044200
training-loop,158,0.426500,0.000000,0.000000,0.000000,0.000000,-0.044500
training-loop,159,0.426500,0.000000,0.000000,0.000000,0.000000,-0.044200
training-loop,160,0.426500,0.000000,0.000000,0.000000,0.000000,-0.044100
training-loop,161,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,162,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
training-loop,163,0.469333,0.000000,0.000000,0.000000,0.000000,0.000000
